country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Russia,Premier Liga,21/22,Krylya Sovetov Samara,Rubin Kazan,11/12/21,Round 18,https://www.sofascore.com/rubin-kazan-krylya-sovetov-samara/xWsIW,xWsIW,https://www.sofascore.com/api/v1/event/xWsIW/h2h/events,"('1-1',)","('0-0',)","('59;',)","('63;',)","('63;-59;',)","(9576749,)","('https://www.sofascore.com/api/v1/event/9576749/incidents',)"
Russia,Premier Liga,21/22,CSKA Moscow,Arsenal Tula,11/12/21,Round 18,https://www.sofascore.com/arsenal-tula-cska-moscow/AWsbgo,AWsbgo,https://www.sofascore.com/api/v1/event/AWsbgo/h2h/events,"('2-2',)","('1-1',)","('74;5;',)","('66;18;',)","('66;18;-74;5;',)","(9576643,)","('https://www.sofascore.com/api/v1/event/9576643/incidents',)"
Russia,Premier Liga,21/22,FC Rostov,Ural Yekaterinburg,11/12/21,Round 18,https://www.sofascore.com/ural-yekaterinburg-fc-rostov/BWsEad,BWsEad,https://www.sofascore.com/api/v1/event/BWsEad/h2h/events,"('1-1',)","('0-0',)","('76;',)","('81;',)","('81;-76;',)","(9576756,)","('https://www.sofascore.com/api/v1/event/9576756/incidents',)"
Russia,Premier Liga,21/22,Dynamo Moscow,Zenit St. Petersburg,12/12/21,Round 18,https://www.sofascore.com/zenit-st-petersburg-dynamo-moscow/pWswW,pWswW,https://www.sofascore.com/api/v1/event/pWswW/h2h/events,"('4-1',)","('1-0',)","('56;',)","('85;69;66;8;',)","('85;69;66;8;-56;',)","(9576662,)","('https://www.sofascore.com/api/v1/event/9576662/incidents',)"
Russia,Premier Liga,21/22,Akhmat Grozny,FK Khimki,12/12/21,Round 18,https://www.sofascore.com/akhmat-grozny-fk-khimki/NWsGcc,NWsGcc,https://www.sofascore.com/api/v1/event/NWsGcc/h2h/events,"('2-0',)","('1-0',)","('',)","('90;12;',)","('90;12;-',)","(9576624,)","('https://www.sofascore.com/api/v1/event/9576624/incidents',)"
Russia,Premier Liga,21/22,FC Krasnodar,FK Nizhny Novgorod,12/12/21,Round 18,https://www.sofascore.com/fc-krasnodar-fk-nizhny-novgorod/ANnseIFb,ANnseIFb,https://www.sofascore.com/api/v1/event/ANnseIFb/h2h/events,"('1-4',)","('0-1',)","('76;73;56;5;',)","('83;',)","('83;-76;73;56;5;',)","(9576710,)","('https://www.sofascore.com/api/v1/event/9576710/incidents',)"
Russia,Premier Liga,21/22,Lokomotiv Moscow,FC Ufa,12/12/21,Round 18,https://www.sofascore.com/fc-ufa-lokomotiv-moscow/vWsQJE,vWsQJE,https://www.sofascore.com/api/v1/event/vWsQJE/h2h/events,"('1-1',)","('1-0',)","('73;',)","('45;',)","('45;-73;',)","(9576761,)","('https://www.sofascore.com/api/v1/event/9576761/incidents',)"
Russia,Premier Liga,21/22,FC Sochi,Spartak Moscow,13/12/21,Round 18,https://www.sofascore.com/fc-sochi-spartak-moscow/yWsJW,yWsJW,https://www.sofascore.com/api/v1/event/yWsJW/h2h/events,"('1-2',)","('0-0',)","('72;66;',)","('60;',)","('60;-72;66;',)","(9576568,)","('https://www.sofascore.com/api/v1/event/9576568/incidents',)"
Russia,Premier Liga,21/22,Zenit St. Petersburg,FC Rostov,03/12/21,Round 17,https://www.sofascore.com/fc-rostov-zenit-st-petersburg/wWsBW,wWsBW,https://www.sofascore.com/api/v1/event/wWsBW/h2h/events,"('2-2',)","('1-2',)","('25;11;',)","('69;31;',)","('69;31;-25;11;',)","(9576661,)","('https://www.sofascore.com/api/v1/event/9576661/incidents',)"
Russia,Premier Liga,21/22,Krylya Sovetov Samara,CSKA Moscow,04/12/21,Round 17,https://www.sofascore.com/cska-moscow-krylya-sovetov-samara/xWsAW,xWsAW,https://www.sofascore.com/api/v1/event/xWsAW/h2h/events,"('0-1',)","('0-0',)","('75;',)","('',)","('-75;',)","(9576631,)","('https://www.sofascore.com/api/v1/event/9576631/incidents',)"
Russia,Premier Liga,21/22,Spartak Moscow,Akhmat Grozny,04/12/21,Round 17,https://www.sofascore.com/akhmat-grozny-spartak-moscow/yWsGcc,yWsGcc,https://www.sofascore.com/api/v1/event/yWsGcc/h2h/events,"('2-1',)","('1-1',)","('45;',)","('87;13;',)","('87;13;-45;',)","(9576766,)","('https://www.sofascore.com/api/v1/event/9576766/incidents',)"
Russia,Premier Liga,21/22,Lokomotiv Moscow,Ural Yekaterinburg,04/12/21,Round 17,https://www.sofascore.com/ural-yekaterinburg-lokomotiv-moscow/vWsEad,vWsEad,https://www.sofascore.com/api/v1/event/vWsEad/h2h/events,"('0-1',)","('0-1',)","('42;',)","('',)","('-42;',)","(9576767,)","('https://www.sofascore.com/api/v1/event/9576767/incidents',)"
Russia,Premier Liga,21/22,FK Khimki,Arsenal Tula,05/12/21,Round 17,https://www.sofascore.com/arsenal-tula-fk-khimki/NWsbgo,NWsbgo,https://www.sofascore.com/api/v1/event/NWsbgo/h2h/events,"('1-2',)","('1-0',)","('87;61;',)","('36;',)","('36;-87;61;',)","(9576586,)","('https://www.sofascore.com/api/v1/event/9576586/incidents',)"
Russia,Premier Liga,21/22,Dynamo Moscow,FC Ufa,05/12/21,Round 17,https://www.sofascore.com/fc-ufa-dynamo-moscow/pWsQJE,pWsQJE,https://www.sofascore.com/api/v1/event/pWsQJE/h2h/events,"('2-0',)","('1-0',)","('',)","('86;29;',)","('86;29;-',)","(9576719,)","('https://www.sofascore.com/api/v1/event/9576719/incidents',)"
Russia,Premier Liga,21/22,FK Nizhny Novgorod,Rubin Kazan,05/12/21,Round 17,https://www.sofascore.com/rubin-kazan-fk-nizhny-novgorod/IWseIFb,IWseIFb,https://www.sofascore.com/api/v1/event/IWseIFb/h2h/events,"('2-1',)","('2-1',)","('28;',)","('41;2;',)","('41;2;-28;',)","(9576551,)","('https://www.sofascore.com/api/v1/event/9576551/incidents',)"
Russia,Premier Liga,21/22,FC Sochi,FC Krasnodar,05/12/21,Round 17,https://www.sofascore.com/fc-krasnodar-fc-sochi/JWsANn,JWsANn,https://www.sofascore.com/api/v1/event/JWsANn/h2h/events,"('1-2',)","('1-1',)","('52;23;',)","('19;',)","('19;-52;23;',)","(9576649,)","('https://www.sofascore.com/api/v1/event/9576649/incidents',)"
Russia,Premier Liga,21/22,Ural Yekaterinburg,FC Sochi,27/11/21,Round 16,https://www.sofascore.com/ural-yekaterinburg-fc-sochi/JWsEad,JWsEad,https://www.sofascore.com/api/v1/event/JWsEad/h2h/events,"('1-1',)","('1-0',)","('68;',)","('34;',)","('34;-68;',)","(9576625,)","('https://www.sofascore.com/api/v1/event/9576625/incidents',)"
Russia,Premier Liga,21/22,Akhmat Grozny,FC Rostov,27/11/21,Round 16,https://www.sofascore.com/akhmat-grozny-fc-rostov/BWsGcc,BWsGcc,https://www.sofascore.com/api/v1/event/BWsGcc/h2h/events,"('2-0',)","('1-0',)","('',)","('76;27;',)","('76;27;-',)","(9576544,)","('https://www.sofascore.com/api/v1/event/9576544/incidents',)"
Russia,Premier Liga,21/22,FK Khimki,FC Krasnodar,27/11/21,Round 16,https://www.sofascore.com/fc-krasnodar-fk-khimki/NWsANn,NWsANn,https://www.sofascore.com/api/v1/event/NWsANn/h2h/events,"('3-3',)","('0-1',)","('80;67;6;',)","('71;56;54;',)","('71;56;54;-80;67;6;',)","(9576592,)","('https://www.sofascore.com/api/v1/event/9576592/incidents',)"
Russia,Premier Liga,21/22,FK Nizhny Novgorod,Krylya Sovetov Samara,28/11/21,Round 16,https://www.sofascore.com/krylya-sovetov-samara-fk-nizhny-novgorod/xWseIFb,xWseIFb,https://www.sofascore.com/api/v1/event/xWseIFb/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(9576564,)","('https://www.sofascore.com/api/v1/event/9576564/incidents',)"
Russia,Premier Liga,21/22,Rubin Kazan,Dynamo Moscow,28/11/21,Round 16,https://www.sofascore.com/rubin-kazan-dynamo-moscow/pWsIW,pWsIW,https://www.sofascore.com/api/v1/event/pWsIW/h2h/events,"('2-3',)","('1-1',)","('85;68;18;',)","('49;30;',)","('49;30;-85;68;18;',)","(9576630,)","('https://www.sofascore.com/api/v1/event/9576630/incidents',)"
Russia,Premier Liga,21/22,CSKA Moscow,Zenit St. Petersburg,29/11/21,Round 16,https://www.sofascore.com/cska-moscow-zenit-st-petersburg/wWsAW,wWsAW,https://www.sofascore.com/api/v1/event/wWsAW/h2h/events,"('0-2',)","('0-1',)","('90;34;',)","('',)","('-90;34;',)","(9576645,)","('https://www.sofascore.com/api/v1/event/9576645/incidents',)"
Russia,Premier Liga,21/22,FC Ufa,Spartak Moscow,29/11/21,Round 16,https://www.sofascore.com/fc-ufa-spartak-moscow/yWsQJE,yWsQJE,https://www.sofascore.com/api/v1/event/yWsQJE/h2h/events,"('1-1',)","('0-0',)","('90;',)","('70;',)","('70;-90;',)","(9576583,)","('https://www.sofascore.com/api/v1/event/9576583/incidents',)"
Russia,Premier Liga,21/22,Arsenal Tula,Lokomotiv Moscow,29/11/21,Round 16,https://www.sofascore.com/arsenal-tula-lokomotiv-moscow/vWsbgo,vWsbgo,https://www.sofascore.com/api/v1/event/vWsbgo/h2h/events,"('3-1',)","('2-0',)","('90;',)","('58;40;17;',)","('58;40;17;-90;',)","(9576543,)","('https://www.sofascore.com/api/v1/event/9576543/incidents',)"
Russia,Premier Liga,21/22,Zenit St. Petersburg,FK Nizhny Novgorod,19/11/21,Round 15,https://www.sofascore.com/zenit-st-petersburg-fk-nizhny-novgorod/wWseIFb,wWseIFb,https://www.sofascore.com/api/v1/event/wWseIFb/h2h/events,"('5-1',)","('3-1',)","('39;',)","('87;59;45;34;23;',)","('87;59;45;34;23;-39;',)","(9576629,)","('https://www.sofascore.com/api/v1/event/9576629/incidents',)"
Russia,Premier Liga,21/22,Krylya Sovetov Samara,Ural Yekaterinburg,20/11/21,Round 15,https://www.sofascore.com/ural-yekaterinburg-krylya-sovetov-samara/xWsEad,xWsEad,https://www.sofascore.com/api/v1/event/xWsEad/h2h/events,"('1-1',)","('0-0',)","('90;',)","('59;',)","('59;-90;',)","(9576604,)","('https://www.sofascore.com/api/v1/event/9576604/incidents',)"
Russia,Premier Liga,21/22,Lokomotiv Moscow,Akhmat Grozny,20/11/21,Round 15,https://www.sofascore.com/akhmat-grozny-lokomotiv-moscow/vWsGcc,vWsGcc,https://www.sofascore.com/api/v1/event/vWsGcc/h2h/events,"('1-2',)","('0-1',)","('58;36;',)","('64;',)","('64;-58;36;',)","(9576644,)","('https://www.sofascore.com/api/v1/event/9576644/incidents',)"
Russia,Premier Liga,21/22,FC Krasnodar,Spartak Moscow,20/11/21,Round 15,https://www.sofascore.com/fc-krasnodar-spartak-moscow/yWsANn,yWsANn,https://www.sofascore.com/api/v1/event/yWsANn/h2h/events,"('2-1',)","('1-1',)","('45;',)","('61;16;',)","('61;16;-45;',)","(9576594,)","('https://www.sofascore.com/api/v1/event/9576594/incidents',)"
Russia,Premier Liga,21/22,CSKA Moscow,FK Khimki,21/11/21,Round 15,https://www.sofascore.com/fk-khimki-cska-moscow/AWsNW,AWsNW,https://www.sofascore.com/api/v1/event/AWsNW/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(9576598,)","('https://www.sofascore.com/api/v1/event/9576598/incidents',)"
Russia,Premier Liga,21/22,FC Rostov,FC Ufa,21/11/21,Round 15,https://www.sofascore.com/fc-ufa-fc-rostov/BWsQJE,BWsQJE,https://www.sofascore.com/api/v1/event/BWsQJE/h2h/events,"('2-2',)","('1-1',)","('57;16;',)","('59;21;',)","('59;21;-57;16;',)","(9576556,)","('https://www.sofascore.com/api/v1/event/9576556/incidents',)"
Russia,Premier Liga,21/22,Dynamo Moscow,Arsenal Tula,21/11/21,Round 15,https://www.sofascore.com/arsenal-tula-dynamo-moscow/pWsbgo,pWsbgo,https://www.sofascore.com/api/v1/event/pWsbgo/h2h/events,"('5-1',)","('4-0',)","('85;',)","('60;27;25;22;15;',)","('60;27;25;22;15;-85;',)","(9576718,)","('https://www.sofascore.com/api/v1/event/9576718/incidents',)"
Russia,Premier Liga,21/22,FC Sochi,Rubin Kazan,21/11/21,Round 15,https://www.sofascore.com/fc-sochi-rubin-kazan/IWsJW,IWsJW,https://www.sofascore.com/api/v1/event/IWsJW/h2h/events,"('1-2',)","('1-1',)","('81;31;',)","('27;',)","('27;-81;31;',)","(9576613,)","('https://www.sofascore.com/api/v1/event/9576613/incidents',)"
Russia,Premier Liga,21/22,Arsenal Tula,FC Ufa,06/11/21,Round 14,https://www.sofascore.com/fc-ufa-arsenal-tula/bgosQJE,bgosQJE,https://www.sofascore.com/api/v1/event/bgosQJE/h2h/events,"('',)","('0-0',)","('',)","('',)","('-',)","(9576620,)","('https://www.sofascore.com/api/v1/event/9576620/incidents',)"
Russia,Premier Liga,21/22,Dynamo Moscow,FC Krasnodar,06/11/21,Round 14,https://www.sofascore.com/fc-krasnodar-dynamo-moscow/pWsANn,pWsANn,https://www.sofascore.com/api/v1/event/pWsANn/h2h/events,"('1-0',)","('0-0',)","('',)","('73;',)","('73;-',)","(9576603,)","('https://www.sofascore.com/api/v1/event/9576603/incidents',)"
Russia,Premier Liga,21/22,Krylya Sovetov Samara,FK Khimki,06/11/21,Round 14,https://www.sofascore.com/fk-khimki-krylya-sovetov-samara/xWsNW,xWsNW,https://www.sofascore.com/api/v1/event/xWsNW/h2h/events,"('3-0',)","('2-0',)","('',)","('71;39;20;',)","('71;39;20;-',)","(9576619,)","('https://www.sofascore.com/api/v1/event/9576619/incidents',)"
Russia,Premier Liga,21/22,FC Sochi,CSKA Moscow,06/11/21,Round 14,https://www.sofascore.com/fc-sochi-cska-moscow/AWsJW,AWsJW,https://www.sofascore.com/api/v1/event/AWsJW/h2h/events,"('4-1',)","('3-0',)","('57;',)","('87;16;14;3;',)","('87;16;14;3;-57;',)","(9576569,)","('https://www.sofascore.com/api/v1/event/9576569/incidents',)"
Russia,Premier Liga,21/22,Ural Yekaterinburg,Zenit St. Petersburg,07/11/21,Round 14,https://www.sofascore.com/ural-yekaterinburg-zenit-st-petersburg/wWsEad,wWsEad,https://www.sofascore.com/api/v1/event/wWsEad/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(9576558,)","('https://www.sofascore.com/api/v1/event/9576558/incidents',)"
Russia,Premier Liga,21/22,FC Rostov,Rubin Kazan,07/11/21,Round 14,https://www.sofascore.com/rubin-kazan-fc-rostov/BWsIW,BWsIW,https://www.sofascore.com/api/v1/event/BWsIW/h2h/events,"('5-1',)","('1-1',)","('35;',)","('82;65;55;50;42;',)","('82;65;55;50;42;-35;',)","(9576616,)","('https://www.sofascore.com/api/v1/event/9576616/incidents',)"
Russia,Premier Liga,21/22,Akhmat Grozny,FK Nizhny Novgorod,07/11/21,Round 14,https://www.sofascore.com/akhmat-grozny-fk-nizhny-novgorod/GccseIFb,GccseIFb,https://www.sofascore.com/api/v1/event/GccseIFb/h2h/events,"('3-1',)","('1-0',)","('55;',)","('90;72;40;',)","('90;72;40;-55;',)","(9576659,)","('https://www.sofascore.com/api/v1/event/9576659/incidents',)"
Russia,Premier Liga,21/22,Spartak Moscow,Lokomotiv Moscow,07/11/21,Round 14,https://www.sofascore.com/spartak-moscow-lokomotiv-moscow/vWsyW,vWsyW,https://www.sofascore.com/api/v1/event/vWsyW/h2h/events,"('1-1',)","('0-1',)","('23;',)","('64;',)","('64;-23;',)","(9576657,)","('https://www.sofascore.com/api/v1/event/9576657/incidents',)"
Russia,Premier Liga,21/22,Arsenal Tula,FC Ufa,06/11/21,Round 14,https://www.sofascore.com/fc-ufa-arsenal-tula/bgosQJE,bgosQJE,https://www.sofascore.com/api/v1/event/bgosQJE/h2h/events,"('',)","('0-0',)","('',)","('',)","('-',)","(9576620,)","('https://www.sofascore.com/api/v1/event/9576620/incidents',)"
Russia,Premier Liga,21/22,Dynamo Moscow,FC Krasnodar,06/11/21,Round 14,https://www.sofascore.com/fc-krasnodar-dynamo-moscow/pWsANn,pWsANn,https://www.sofascore.com/api/v1/event/pWsANn/h2h/events,"('1-0',)","('0-0',)","('',)","('73;',)","('73;-',)","(9576603,)","('https://www.sofascore.com/api/v1/event/9576603/incidents',)"
Russia,Premier Liga,21/22,Krylya Sovetov Samara,FK Khimki,06/11/21,Round 14,https://www.sofascore.com/fk-khimki-krylya-sovetov-samara/xWsNW,xWsNW,https://www.sofascore.com/api/v1/event/xWsNW/h2h/events,"('3-0',)","('2-0',)","('',)","('71;39;20;',)","('71;39;20;-',)","(9576619,)","('https://www.sofascore.com/api/v1/event/9576619/incidents',)"
Russia,Premier Liga,21/22,FC Sochi,CSKA Moscow,06/11/21,Round 14,https://www.sofascore.com/fc-sochi-cska-moscow/AWsJW,AWsJW,https://www.sofascore.com/api/v1/event/AWsJW/h2h/events,"('4-1',)","('3-0',)","('57;',)","('87;16;14;3;',)","('87;16;14;3;-57;',)","(9576569,)","('https://www.sofascore.com/api/v1/event/9576569/incidents',)"
Russia,Premier Liga,21/22,Ural Yekaterinburg,Zenit St. Petersburg,07/11/21,Round 14,https://www.sofascore.com/ural-yekaterinburg-zenit-st-petersburg/wWsEad,wWsEad,https://www.sofascore.com/api/v1/event/wWsEad/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(9576558,)","('https://www.sofascore.com/api/v1/event/9576558/incidents',)"
Russia,Premier Liga,21/22,FC Rostov,Rubin Kazan,07/11/21,Round 14,https://www.sofascore.com/rubin-kazan-fc-rostov/BWsIW,BWsIW,https://www.sofascore.com/api/v1/event/BWsIW/h2h/events,"('5-1',)","('1-1',)","('35;',)","('82;65;55;50;42;',)","('82;65;55;50;42;-35;',)","(9576616,)","('https://www.sofascore.com/api/v1/event/9576616/incidents',)"
Russia,Premier Liga,21/22,Akhmat Grozny,FK Nizhny Novgorod,07/11/21,Round 14,https://www.sofascore.com/akhmat-grozny-fk-nizhny-novgorod/GccseIFb,GccseIFb,https://www.sofascore.com/api/v1/event/GccseIFb/h2h/events,"('3-1',)","('1-0',)","('55;',)","('90;72;40;',)","('90;72;40;-55;',)","(9576659,)","('https://www.sofascore.com/api/v1/event/9576659/incidents',)"
Russia,Premier Liga,21/22,Spartak Moscow,Lokomotiv Moscow,07/11/21,Round 14,https://www.sofascore.com/spartak-moscow-lokomotiv-moscow/vWsyW,vWsyW,https://www.sofascore.com/api/v1/event/vWsyW/h2h/events,"('1-1',)","('0-1',)","('23;',)","('64;',)","('64;-23;',)","(9576657,)","('https://www.sofascore.com/api/v1/event/9576657/incidents',)"
